Season,year,runsize,catch
1990-91,1991,6416,2746
1991-92,1992,7944,4186
1992-93,1993,6852,3246
1993-94,1994,5099,1538
1994-95,1995,4721,1694
1995-96,1996,5142,2200
1996-97,1997,6199,2219
1997-98,1998,4989,2253
1998-99,1999,3524,1218
1999-00,2000,4822,1502
2000-01,2001,6979,3882
2001-02,2002,4593,1933
2002-03,2003,4508,2059
2003-04,2004,5602,3061
2004-05,2005,6288,2200.093537
2005-06,2006,5734.683342,1667.026127
2006-07,2007,4403.336557,1127.114425
2007-08,2008,4848,1432.234102
2008-09,2009,3952,1324.111075
2009-10,2010,5547,2225.99512
2010-11,2011,4232,955
2011-12,2012,6687,3422
2012-13,2013,4912,1956.17573
2013-14,2014,4086,1496
2014-15,2015,6477,2269.617191
2015-16,2016,5417,2678.12309
2016-17,2017,5847,2567.858739
