"Origin","Population","q25","q25.lci","q25.uci","q50","q50.lci","q50.uci","pJan1","pJan1.lci","pJan1.uci","IQR","IQR.lci","IQR.uci"
"Difference","Quillayute",-66.5703249827638,-73.6510521430952,-59.8747480994258,-78.7931338234563,-84.3290272642985,-73.5408716817582,0.713347989537715,0.66435875010024,0.76119432449921,-20.813521694624,-27.858309323467,-13.57664456196
"Difference","Hoh",-71.6073169108881,-73.8282268509053,-69.3884839085203,-77.2417023969232,-79.0027972362595,-75.5369843094251,0.621884018751789,0.607843375208273,0.635810816751327,-7.90100028263228,-10.1453400438874,-5.61772021674877
"Difference","Queets",-70.6582300521708,-78.6503946487286,-62.5651824262331,-86.0354902675142,-92.1063564217641,-79.9201756769203,0.679621173583518,0.589505867791138,0.768479250726,-27.1988570978616,-36.2024082922173,-18.2751292104682
"Natural","Quillayute",33.4448941129665,27.8599882083812,38.9457078129722,60.5600613783218,56.2449570880691,64.9211508080381,0.0663892646431905,0.0429577098775407,0.0946212585346974,52.4225175025217,47.1589050100645,58.1759289601319
"Natural","Hoh",46.1192492119941,44.3756596678879,47.8206662470892,68.4566833691874,67.0891136671605,69.8384842182901,0.0204191294025681,0.0161367062687106,0.025390395398514,43.0132181090112,41.3319349885706,44.7373809928724
"Natural","Queets",52.8974783554349,45.6840543328558,59.4346999957632,78.5586609325472,73.5984396251207,83.5680403228911,0.0217783206253661,0.00850731145696161,0.0445048830306013,48.3567633225289,41.6545003768449,56.2862817112654
"Hatchery","Quillayute",-33.1254308697973,-37.6971698280775,-29.586980173541,-18.2330724451345,-21.6898779955105,-15.291180214709,0.779737254180906,0.739117357350725,0.820139975626083,31.6089958078977,27.4701125887907,36.550550493054
"Hatchery","Hoh",-25.488067698894,-26.9166306152223,-24.1896303895625,-8.78501902773573,-9.84162102238732,-7.80291847067165,0.642303148154357,0.629081761559223,0.655376346263031,35.1122178263789,33.7074302327951,36.6115248675316
"Hatchery","Queets",-17.7607516967359,-22.214783124113,-14.0856192677144,-7.47682933496699,-10.9464073541506,-4.07692550019289,0.701399494208884,0.615086775353629,0.789650829888782,21.1579062246673,16.7175709949738,26.9749793370057
